title,modules,taught by,hours,lessons
JavaScript: The Advanced Concepts,"['Introduction', 'JavaScript Foundation', 'Javascript Foundation II', 'Types in JavaScript', 'The 2 Pillars: Closures and Prototypal Inheritance', 'Object Oriented Programming', 'Functional Programming', 'OOP vs FP', 'Asynchronous JavaScript', 'Modules in JavaScript', 'Error Handling', 'Thank You', 'Bonus: Data Structures In JavaScript', 'Appendix I: Javascript Basics', 'Appendix II: Intermediate  Javascript', 'Bonus: Extra Bits']",['Andrei Neagoie'],25.5,228
The Complete Guide to Freelancing in 2022: Zero to Mastery,"['Getting Started', 'Profile Module - Building a Rockstar Freelance Profile', 'Deals Module - Finding & Closing High-Ticket Clients', 'Growth Module - Managing & Scaling Your Freelance Business', 'Skills Module - Profitable Freelance Skills', 'Success Module - Setting Yourself Up For Freelance Success', 'Mindset Module - Developing a Millionaire Mindset', 'Where To Go From Here?']",['Paul Mendes'],10.0,53
Complete Ethical Hacking Bootcamp 2022: Zero to Mastery,"['Introduction', 'Setting Up Our Hacking Lab', 'Linux Operating System', 'Reconnaissance & Information Gathering', 'Scanning', 'Python Coding Project #1 - Portscanner', 'Vulnerability Analysis', 'Exploitation & Gaining Access', 'SMBGhost CVE 2020-0796 - Windows 10 Manual Exploitation', 'Gaining Access (Viruses, Trojans, Payloads ...)', 'Post Exploitation - Elevating Privileges, Extracting Data, Running Keyloggers', 'Python Coding Project #2 - Backdoor', 'Website Application Penetration Testing', 'Python Coding Project #3 - Login Bruteforce, Directory Discovery', 'Man In The Middle - MITM', 'Bonus - Wireless Access Point Cracking', 'Bonus: Gaining Access To An Android Device', 'Extra: Introduction To Anonymity', 'Where To Go From Here?', 'Learn Python Basics', 'Learn Python Intermediate', 'Learn Python 3: Error Handling', 'Learn Python 4: File I/O']","['Andrei Neagoie', 'Aleksa Tamburkovski']",27.5,249
Complete Machine Learning and Data Science: Zero to Mastery,"['Introduction', 'Machine Learning 101', 'Machine Learning and Data Science Framework', 'The 2 Paths', 'Data Science Environment Setup', 'Pandas: Data Analysis', 'NumPy', 'Matplotlib: Plotting and Data Visualization', 'Scikit-learn: Creating Machine Learning Models', 'Supervised Learning: Classification + Regression', 'Milestone Project 1: Supervised Learning (Classification)', 'Milestone Project 2: Supervised Learning (Time Series Data)', 'Data Engineering', 'Neural Networks: Deep Learning, Transfer Learning and TensorFlow 2', 'Storytelling + Communication: How To Present Your Projects', 'Career Advice + Extra Bits', 'Learn Python', 'Learn Python Part 2', 'Bonus: Learn Advanced Statistics and Mathematics for FREE!', 'Where To Go From Here?']","['Andrei Neagoie', 'Daniel Bourke']",43.5,377
Complete Python Developer in 2022: Zero to Mastery,"['Introduction', 'Python Introduction', 'Python Basics', 'Python Basics 2', 'Developer Environment', 'Advanced Python: Object Oriented Programming', 'Advanced Python: Functional Programming', 'Advanced Python: Decorators', 'Advanced Python: Error Handling', 'Advanced Python: Generators', 'Modules In Python', 'Debugging In Python', 'File I/O', 'Regular Expressions', 'Testing In Python', 'Career Of A Python Developer', 'Scripting With Python', 'Scraping Data with Python', 'Web Development with Python', 'Automation/Testing', 'Machine Learning + Data Science', 'Where To Go From Here?', 'Bonus: Extra Bits', 'Bonus: HTML Forms']",['Andrei Neagoie'],30.5,332
"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL)","['Introduction', 'React Key Concepts', 'React Basics', 'Master Project: Setting Up E-commerce Project', 'Master Project: React Router and Routing', 'Master Project: Forms + Components', 'Master Project: Firebase + User Authentication', 'Master Project: Redux 1', 'Master Project: Session Storage + Persistence', 'Master Project: Redux 2', 'Master Project: Advanced Routing', 'Master Project: State Normalization', 'Master Project: Stripe Payments Part 1', 'Master Project: Deploying To Production', 'Master Project: CSS in JS - styled-components', 'Master Project: Advanced Redux + Firebase', 'Master Project: HOC Patterns', 'Master Project:  Asynchronous Redux', 'Master Project: Container Pattern', 'Master Project: Redux-Saga', 'Master Project: React Hooks', 'Master Project: Advanced React Hooks', 'Master Project: Stripe Payments Part 2 - Backend', 'Master Project: Context API', 'Master Project: GraphQL + Apollo', 'Master Project: Mobile Support', 'Master Project: React Performance', 'React Interview Questions + Advice', 'Bonus: Progressive Web App', 'Bonus: Firebase Security', 'Bonus: Testing', 'Bonus: Webpack + Babel', 'Bonus: Build a GatsbyJS Blog', 'Appendix 1: Key Developer Concepts', 'Open Source Projects', 'AMA + Bonus']","['Andrei Neagoie', 'Yihua Zhang']",42.5,380
Complete SQL + Databases Bootcamp: Zero to Mastery [2022],"['Introduction', 'History And Story Of Data', 'Databases + SQL Fundamentals', 'Environment Setup', 'SQL Deep Dive', 'Advanced SQL', 'Database Management', 'Solving The Mystery', 'Database Design', 'Database Landscape, Performance and Security', 'Where To Go From Here?', 'Bonus: Data Engineering (And the role of Machine Learning)', 'Bonus: Redis', 'Extra Bits: Databases In A Web App (with Node.js)']","['Andrei Neagoie', 'Mo Binni']",24.5,278
"Complete Web & Mobile Designer in 2022: UI/UX, Figma + more","['Introduction', 'Section 1: GETTING STARTED - Sketching, Inspiration, User Flows', 'Sketching', 'Inspiration', 'Introduction To Figma', 'User Flows', 'Sitemaps', 'Section 2: EXPLORE & ITERATE - Wireframes, Prototyping, and Feedback', 'Wireframes', 'Prototyping', 'Feedback', 'Section 3: VISUAL DESIGN - Design Theory + Accessibility', 'Spacing and The Grid', 'Typography', 'Color', 'Forms + UI Elements', 'Visual Assets', 'Accessibility', 'Section 4: DESIGN EXPLORATION - Application Design + Design Systems', 'Design Patterns', 'Mobile Design', 'Visual Style + Exploration', 'Motion', 'Microinteractions', 'Section 5: PUTTING IT ALL TOGETHER – Design Systems and Final Compositions', 'Design Systems', 'Final Compositions', 'Working With A Client Revisited', 'Where To Go From Here?', 'Web Portfolio', 'From Figma To Website: Building Our Landing Page', 'Bonus: How The Internet Works', 'Bonus: History Of The Web', 'Bonus: HTML 5', 'Bonus: CSS 3', 'Bonus: Bootstrap, Templates, And Building Your Startup Landing Page', 'Bonus: CSS Grid + CSS Layout']","['Andrei Neagoie', 'Daniel Schifano']",26.0,264
The Complete Web Developer in 2022: Zero to Mastery,"['Introduction', 'How The Internet Works', 'History Of The Web', 'HTML5', 'Advanced HTML 5', 'CSS', 'Advanced CSS', 'Bootstrap, Templates, And Building Your Startup Landing Page', 'CSS Grid + CSS Layout', 'Career Of A Web Developer', 'JavaScript', 'DOM Manipulation', 'Advanced JavaScript', 'Command Line', 'Developer Environment', 'Git + Github + Open Source Projects', 'A Day In The Life Of A Developer', 'NPM + NPM Scripts', 'React.js, React Hooks, Redux (Hooks and Redux videos moved to end of course!)', 'HTTP/JSON/AJAX + Asynchronous Javascript', 'Backend Introduction', 'APIs', 'FINAL PROJECT: SmartBrain Front-End', 'Node.js + Express.js', 'FINAL PROJECT: SmartBrain Back-End -- Server', 'Databases', 'FINAL PROJECT: SmartBrain Back-End -- Database', 'Production + Deployment', 'Where To Go From Here?', 'Bonus: Extra Bits', 'Extra Learning: React Hooks', 'Optional Extra Learning: Redux', 'Extra: For Windows Users']",['Andrei Neagoie'],38.0,383
Deno: The Complete Guide Zero to Mastery,"['Introduction', 'Deno Foundations', 'Deno vs Node', 'Deno Modules And Tooling', 'TypeScript?', 'Deno File I/O - Planets Project', 'Exercise: SpaceX Launch Data', 'NASA Project: Deno For Backend Development', 'NASA Project: Deno Production And The Cloud (Docker + AWS)', 'Where To Go From Here?', 'Bonus: How JavaScript Works', 'Bonus: Learning TypeScript', 'Bonus: HTTP, AJAX, JSON and APIs']","['Andrei Neagoie', 'Adam Odziemkowski']",13.5,174
DevOps Bootcamp: Learn Linux & Become a Linux Sysadmin,"['Getting Started', 'Setting Up the Environment', 'The Linux Terminal in Depth', 'Challenges - The Linux Terminal', 'The Linux File System', 'Challenges - The Linux File System', 'User Accounts Management', 'Challenges - User Account Management', 'Linux File Permissions', 'Challenges - File Permissions', 'Linux Process Management', 'Challenges - Linux Processes', 'Networking in Linux', 'Challenges - Networking in Linux', 'Software Management', 'Challenges - Software Management', 'System Administration', 'Challenges - System Administration', 'Bash Shell Scripting', 'Challenges - Bash Scripting', 'Setting Up the Environment for the Hands-On Projects', 'Project #1 - Running Containerized Applications with Docker', 'Challenges - Docker', 'Project #2 - Securing and Hardening a Linux System', 'Project #3: Setting Up a Web and DNS Server', 'Challenges - DNS and WEB', 'Project #4 - Automating Linux Administrative Tasks With Ansible', 'Challenges - Automation with Ansible', 'Bonus: IPFS - The InterPlanetary File System', 'Bonus: SSH Public Key Authentication', 'Where To Go From Here?']",['Andrei Dumitrescu'],21.0,213
The Excel Bootcamp: Zero to Mastery,"['Introduction', 'Module 1: Excel 101', 'Module 2: Filtering and Sorting Data', 'Module 3: Excel Formulas 101', 'Module 4: Crunching Numbers With Excel Functions', 'Module 5: Conditional Calculations', 'Module 6: Date and Time Functions', 'Module 7: Text Functions', 'Module 8: Logical and Lookup Functions', 'Module 9: Modeling in Excel', 'Module 10: Data Visualization in Excel', 'Module 11: Working With Structured Data in Excel', 'Module 12: Pivot Tables', 'Module 13: Macros and VBA', 'Where To Go From Here?']",['Travis\r\n                    Cuzick'],14.0,107
NFT 101: Introduction to NFTs,"['Introduction', 'Non Fungible Token Fundamentals', 'Building And Selling NFTs', 'Where To Go From Here?']",['Mo Binni'],2.0,21
JavaScript Web Projects: 20 Projects to Build Your Portfolio,"['Introduction', 'Developer Setup', 'Quote Generator', 'Infinity Scroll', 'Picture in Picture', 'Joke Teller', 'Light & Dark Mode', 'Animated Template', 'Navigation Nation', 'Music Player', 'Custom Countdown', 'Book Keeper', 'Video Player', 'Form Validator', 'Spok Rock Game', 'NASA APOD', 'Math Sprint Game', ""Drag n' Drop"", 'Calculator', 'Splash Page', 'Paint Clone', 'Pong', 'Where To Go From Here?', 'Appendix: How JavaScript Works', 'Appendix: Git, Github, Open Source and Building a Portfolio', 'Appendix: CORS Issues']","['Andrei Neagoie', 'Jacinto Wong']",33.0,236
Complete Angular Developer in 2022: Zero to Mastery,"['Introduction', 'Bootstrapping Angular', 'OPTIONAL: TypeScript', 'Component Fundamentals', 'Transforming Content', 'Master Project: Component Design', 'Master Project: Reactive Forms', 'Master Project: Template Forms', 'Intro to RxJS', 'Master Project: Authentication', 'Master Project: Custom Validators', 'Master Project: Routing', 'Master Project: Uploading Files', 'WebAssembly & Rust', 'Master Project: Processing Videos with FFmpeg', 'Master Project: Playing Videos', 'Master Project: Deployment', 'Where To Go From Here?']",['Luis Ramirez Jr'],25.5,296
Python for Business Data Analytics & Intelligence,"['Section 1 - Introduction', 'PART A: STATISTICS', 'Section 2 - Basic Statistics', 'Section 3 - Intermediary Statistics', 'Section 4 - Linear Regression', 'Section 5 - Multilinear Regression', 'Section 6 - Logistic Regression', 'PART B: ECONOMETRICS & CAUSAL INFERENCE', 'Section 7 - Google Causal Impact (Econometrics and Causal Inference)', 'Section 8 - Matching', 'PART C: SEGMENTATION', 'Section 9 - RFM (Recency, Frequency, Monetary) Analysis', 'Section 10 - Gaussian Mixture', 'PART D: PREDICTIVE ANALYTICS', 'Section 11 - Random Forest', 'Section 12 - Facebook Prophet', 'Where To Go From Here?']",['Diogo Resende'],15.5,243
Dart: The Complete Developer's Guide,"['Introduction', 'Dart Basics', 'Dart type system', 'Control flow', 'Project: Building a command line app', 'Collections', 'Project: Data Processing in Dart', 'Dart Null Safety', 'Functions: Basics', 'Functions: Advanced', 'Classes: Basics', 'Classes: Advanced', 'Project: Simple eCommerce', 'Mixins & Extensions', 'Error Handling & Exceptions', 'Async Programming', 'Weather App', 'Conclusion & Next Steps']",['Andrea Bizzotto'],10.0,184
Go Programming (Golang): The Complete Developer's Guide,"['Introduction', 'Introduction to Go (Golang) Programming', 'Go Programming Fundamentals', 'Go Programming: Types', 'Idiomatic Go', 'Interfaces in Go', 'Concurrent Programming with Go', 'Final Milestone Project: Pixl', 'Where To Go From Here?']",['Jayson Lennon'],10.5,100
Learning to Meditate [Productivity & Focus],"['Introduction', 'Preparation Week: Meditation Fundamentals', 'Start the 4 Week Challenge', 'Week 1 Challenge: Connect to Your Breath', 'Week 2 Challenge: Connect with Your Body', 'Week 3 Challenge: Observing Your Mind', 'Week 4 Challenge: Visualization', 'Conclusion to the 4 Week Challenge', 'Meditation Library', 'Where To Go From Here?']",['Oana Dragan'],2.0,24
"Motion Design with Figma: Animations, Motion Graphics, UX/UI","['Introduction', 'Why Is Motion Important?', 'Introduction To Figma', 'Introduction To Smart Animate', 'Project: Photo Inspiration Application', 'Motion Design Principles', 'Creating Motion In Figma', 'The Motion Design Process', 'Project: National Geographic Carousel', 'Microinteractions', 'Project: Smart Home Application', 'Feedback', 'Project: Home Renovation Landing Page', 'Project: Home Renovation Form', 'Project: Food Delivery Application', 'Showcasing Your Work', 'Where To Go From Here?']",['Daniel Schifano'],12.5,130
Complete Next.js Developer in 2022: Zero to Mastery,"['Introduction', 'Next.js Fundamentals (including React)', 'Project #1: Build Your First Next.js App | Coffee Connoisseur', 'Project #1: Routing with Next.js', 'Project #1: Styling in Next.js', 'Hydration, SEO and Different Rendering Techniques in Next.js', 'Project #1: Static Coffee Store Pages', 'Project #1: Coffee Stores by Location', 'Project #1: Serverless Functions', 'Project #1: Data Storage Using Airtable', 'Project #1: SWR with Client Side Rendering', 'Project #1: Deployment and Build Optimization', 'Master Project: Project Setup | Netflix with Next.js', 'Master Project: Netflix Home Page and Video', 'Master Project: Authentication with Magic | Netflix with Next.js', 'Master Project: Incremental Static Regeneration | Netflix with Next.js', 'Master Project: Hasura GraphQL | Netflix with Next.js', 'Master Project: Authentication with Hasura | Netflix with Next.js', 'Master Project: Ratings Service and My List Page | Netflix with Next.js', 'NextJS 12: The New Features', 'Master Project: Deployment | Netflix with Next.js', 'Where To Go From Here?', 'Appendix: Learning React']","['Andrei Neagoie', 'Ankita Kulkarni']",36.5,405
Complete Node.js Developer in 2022: Zero to Mastery,"['Introduction', 'Node.js Fundamentals: Foundations and Environment Setup', 'Node.js Fundamentals: Internals', 'Node.js Fundamentals: Module System', 'Node.js Fundamentals: Package Management', 'Node.js File I/O - Planets Project', 'Web Servers with Node.js', 'First Express.js API', 'NASA Project', 'Testing APIs', 'Improving Node Performance', 'Databases', 'Working With REST APIs - SpaceX Project', 'Node Security + Authentication', 'Continuous Integration and Delivery', 'Node Production and the Cloud (Docker + AWS)', 'GraphQL', 'Sockets with Node.js', 'Where To Go From Here?', 'Bonus: Deno vs Node.js', 'Appendix: How JavaScript Works', 'Appendix: Asynchronous JavaScript', 'Appendix: Pong Front End', 'Appendix: TypeScript', 'Appendix: SQL']","['Andrei Neagoie', 'Adam Odziemkowski']",46.0,413
Web Security & Bug Bounty: Learn Penetration Testing in 2022,"['Introduction To Bug Bounty', 'Our Virtual Lab Setup', 'Website Enumeration & Information Gathering', 'Introduction To Burpsuite', 'HTML Injection', 'Command Injection/Execution', 'Broken Authentication', 'Bruteforce Attacks', 'Sensitive Data Exposure', 'Broken Access Control', 'Security Misconfiguration', 'Cross Site Scripting - XSS', 'SQL Injection', 'XML, XPath Injection, XXE', 'Components With Known Vulnerabilities', 'Insufficient Logging And Monitoring', 'Monetizing Bug Hunting', 'Bonus - Web Developer Fundamentals', 'Bonus - Linux Terminal', 'Bonus - Networking', 'Where To Go From Here?']","['Andrei Neagoie', 'Aleksa Tamburkovski']",10.5,95
Complete React Native Developer in 2022: Zero to Mastery [with Hooks],"['Introduction', 'React Native Fundamentals', 'The 2 Paths', 'Building With React Native: FocusTime App', 'Mobile Development Professional: Local Setup', 'Master Project: MealsToGo Project Setup', 'Master Project: MealsToGo Core Part 1', 'Master Project: MealsToGo Core Part 2', 'Bonus: Mobile Camera Module', 'Bonus: Google Maps Integration', 'Bonus: Mobile Payments With Stripe', 'Bonus: Releasing To The App Stores', 'Bonus: App Polish + Customizing MealsToGo', 'Keeping Your App Up To Date', 'Where To Go From Here?', 'Appendix: Learn React', 'Appendix: Git + Github', 'Appendix: Open Source Projects']","['Andrei Neagoie', 'Mo Binni']",28.5,343
Rust Programming: The Complete Developer's Guide,"['Intoduction', 'Rust Fundamentals', 'Making Decisions with Rust', 'Repetition', 'Working With Data', ""Rust's Memory Model"", 'Data Collections', 'Expanding Knowledge', 'Fallible Functions', 'Data Collection: HashMap', 'Easier Data Management', 'Managing Code', 'Milestone Project: Billing Application', 'Shared Functionality', 'Lifetimes', 'Improving Program Reliability', 'Type Conversions', 'Parallel Execution', 'Shared Ownership', 'Standard Library Tour', 'Other Language Features', 'Development Experience', 'Crate Roundup', 'Resources', 'Final Project: Clip Stash', 'Declarative Macros', 'Where To Go From Here?']",['Jayson Lennon'],20.0,228
TensorFlow Developer Certificate in 2022: Zero to Mastery,"['Introduction', 'Deep Learning and TensorFlow Fundamentals', 'Neural network regression with TensorFlow', 'Neural network classification in TensorFlow', 'Computer Vision and Convolutional Neural Networks in TensorFlow', 'Transfer Learning in TensorFlow Part 1: Feature extraction', 'Transfer Learning in TensorFlow Part 2: Fine tuning', 'Transfer Learning with TensorFlow Part 3: Scaling Up', 'Milestone Project 1: Food Vision Big™', 'NLP Fundamentals in TensorFlow', 'Milestone Project 2: SkimLit', 'Time Series fundamentals in TensorFlow + Milestone Project 3: BitPredict', 'Passing the TensorFlow Developer Certificate Exam', 'Where To Go From Here?', 'Appendix: Machine Learning Primer', 'Appendix: Machine Learning and Data Science Framework', 'Appendix: Pandas for Data Analysis', 'Appendix: NumPy']",['Daniel Bourke'],63.5,419
"Complete Vue Developer in 2022 (w/ Vuex, Composition API, Router)","['Introduction', 'Vue Fundamentals', 'Project 1: Perspective Playground', 'Vue: Beyond the Fundamentals', 'Vue Developer Environment', 'Advanced Vue Components', 'Transitions & Animations', 'Project 2: Vue Quiz App', 'Master Project: Introduction to Vuex', 'Master Project: Form Validation', 'Master Project: Authentication', 'Master Project: Routing', 'Master Project: Uploading Files', 'Master Project: Playing Music', 'Master Project: Directives', 'Master Project: Internationalization', 'Master Project: PWA (Progressive Web App)', 'Master Project: Performance Optimizations', 'Master Project: Deployment + Production', 'Master Project: Testing Your Vue App', 'Composition API', 'Component Design Patterns', 'Where To Go From Here?', 'Appendix: Extra Bits']","['Andrei Neagoie', 'Luis Ramirez Jr']",30.5,296
WebAssembly: A Practical Guide,"['Introduction', 'WebAssembly: Everything You Need to Know', 'Where To Go From Here?']",['Luis Ramirez Jr'],2.5,26
Learning to Learn [Efficient Learning]: Zero to Mastery,"['Introduction', 'The Principles', 'The Lies', 'The Pillars', 'The Science', 'The Techniques', 'Lifelong Learning']",['Andrei Neagoie'],5.5,110
Master the Coding Interview: Data Structures + Algorithms,"['Introduction', 'Getting More Interviews', 'Big O', 'How To Solve Coding Problems', 'Data Structures: Introduction', 'Data Structures: Arrays', 'Data Structures: Hash Tables', 'Data Structures: Linked Lists', 'Data Structures: Stacks + Queues', 'Data Structures: Trees', 'Data Structures: Graphs', 'Algorithms: Recursion', 'Algorithms: Sorting', 'Algorithms: Searching + BFS + DFS', 'Algorithms: Dynamic Programming', 'Non Technical Interviews', 'Offer + Negotiation', 'Thank You', 'Extras: Google, Amazon, Facebook Interview Questions', 'Contributing To Open Source To Gain Experience', 'Bonus: Extra Bits']",['Andrei Neagoie'],19.5,260
Master the Coding Interview: Big Tech (FAANG) Interviews,"['Introduction', 'Arrays  - Question #1  Google Interview Question Two Sum (Easy)', 'Arrays - Questions #2 - Container With Most Water (Medium)', 'Arrays - Questions #3 - Trapping Rainwater (Hard)', 'Strings - Question #4 - Typed Out Strings (Easy)', 'Strings - Question #5 - Longest Substring Without Repeating Characters (Medium)', 'Strings - Question #6 - Valid Palindrome & Almost Palindrome', 'Introducing Linked Lists - Basics and Reverse A Linked List', 'Linked List - Question #7 - M, N Reversals (Medium)', 'Linked List - Question #8 - Merge Multi-Level Doubly Linked List (Medium)', 'Linked List - Question #9 - Cycle Detection (Medium)', 'Stacks - Question #10 - Valid Parentheses (Easy)', 'Stacks - Question #11 - Minimum Brackets To Remove (Medium)', 'Queues - Question #12 - Implement Queue With Stacks (Easy)', ""Recursion (Sorting and Hoare's QuickSelect) - Question #13 - Kth Largest Element"", 'Recursion (Binary Search) - Question #14 - Start And End Of Target (Medium)', 'Binary Trees - Question #15 - Maximum Depth Of Binary Tree (Easy)', 'Binary Trees - Question #16 - Level Order Of Binary Tree (Medium)', 'Binary Trees - Question #17 - Right Side View of Tree (Medium)', 'Full & Complete Binary Trees - Question #18 - Number Of Nodes In Complete Tree', 'Binary Search Tree - Question #19 - Validate Binary Search Tree (Medium)', 'Heaps & Priority Queues', 'Intro To 2D-Arrays - Basics & Traversal Algorithms', '2D-Arrays - Question #20 Number Of Islands (Medium)', '2D-Arrays - Question #21 Rotting Oranges (Medium)', '2D-Arrays - Question #22 - Walls And Gates (Medium)', 'Intro to Graphs - Representation & Traversal Algorithms', 'Graphs - Question #23 - Time Needed to Inform All Employees (Medium)', 'Graphs - Question #24 - Course Scheduler (Medium)', 'Graphs - Question #25 - Network Time Delay (Medium)', 'Dynamic Programming - Question #26 - Minimum Cost Of Climbing Stairs (Easy)', 'Dynamic Programming - Question #27 - Knight Probability In Chessboard (Medium)', 'Backtracking - Question #28 - Sudoku Solver (Hard)', 'Interface Design - Question #29 - Monarchy', 'Tries - Question #30 - Implement Prefix Trie (Medium)', 'Where To Go From Here?', 'Appendix: Big O', 'Appendix: Arrays', 'Appendix: Hash Tables', 'Appendix: Linked Lists', 'Appendix: Stacks + Queues', 'Appendix: Trees', 'Appendix: Searching + BFS + DFS', 'Appendix: Recursion', 'Appendix: Sorting']","['Andrei Neagoie', 'Yihua Zhang']",36.5,287
"SEO Fundamentals (Keywords, Link Building, Content Optimization)","['Introduction', 'Section 1 - Getting Started', 'Section 2 - Online Keyword Research Tools', 'Section 3 - Conducting Keyword Research', 'Section 4 - Content Optimization', 'Section 5 - Monitoring Keyword Performance', 'Section 6 - Link Building', 'Bonus Section', 'Where To Go From Here?']",['Scott Stockdale'],4.0,38
The Complete Junior to Senior Web Developer Roadmap (2022),"['Introduction', 'SSH', 'Performance Part 1', 'OPTIONAL: React + Redux + Module Bundling', 'Performance Part 2', 'Testing', 'TypeScript', 'SPA vs Server Side Rendering', 'Security', 'Code Analysis', 'Docker', 'Redis', 'Sessions + JWT', 'AWS', 'Performance Part 3', 'CI/CD', 'Extra Bits', 'The Final Video', 'Extras: For Windows Users', 'Bonus: AMA Video!']",['Andrei Neagoie'],37.0,436
